station_code,name,lat,lon,type,nearest_town,warning_level,danger_level,frl,mwl,highest_flow_level
007-LGD3BEH,BAZARSAU,23.857222222222223,88.16583333333334,Base,,,,,,18.75
007-LGDHYD,Sonarpal (Narangi Markandi),19.26972222222222,81.88388888888889,Base,,,,,,543.2
007-LKDHYD,Malkhed,17.203333333333333,77.1563888888889,Base,,398.0,399.0,,,403.19
007-LYDAGRA,BASODA,23.88722222222222,77.92027777777778,Base,"",395.05,396.05,,,405.605
007-MAHGAND,Kadana Dam,23.30527777777778,73.82472222222222,Inflow,SANTRAMPUR,,,127.71,127.71,
007-MBDGHY,Suklai,26.65373333333333,91.71483888888889,Base,Nalbari,,,,,76.2
007-MDBURLA,Thethetanger,22.646666666666665,83.93361111111112,Base,,,,,,365.615
007-MDSIL,TULARGRAM,24.71611111111111,92.885,Base,"",,,,,24.73
007-MGD1LKN,Shardanagar,28.063333333333333,80.965,Base,"",134.49,135.49,,,136.55
007-MGD2LKN,Kalagarh ,29.497222222222224,78.76055555555556,Base,,,,,,263.67
007-MGD3VNS,Ghazipur,25.58,83.58833333333332,Level,Ghazipur,62.1,63.105,,51.66,65.22
007-MGD4PTN,Khagaria,25.486666666666668,86.43694444444445,Level,"",35.58,36.58,,,39.22
007-MGD5PTN,Kahalgaon,25.265833333333333,87.22611111111111,Level,"",30.09,31.09,,,32.87
007-NDBHP,kogaon,22.101111111111113,75.68444444444445,Base,,158.5,159.5,,,164.25
007-SRDCBE,THEVUR,11.527222222222223,77.75083333333333,Base,"",171.5,172.5,,,173.2
007-SWRDKOCHI,PULAMANTHOLE,10.898055555555555,76.19194444444445,Base,PALAKKAD,15.6,16.6,,,20.25
007-TDSURAT,Girna Dam,20.47861111111111,74.71555555555555,Base,,398.068,398.068,,,398.07
007-UBDDIB,Dholabazar,27.76361111111111,95.56611111111111,Level,"",127.27,128.27,,,130.07
007-UGDHYD,Pachegaon,19.53527777777778,74.83361111111111,Base,"",,,,482.5,478.0
007-UKDPUNE,Sadalga (Seasonal),16.56361111111111,74.5275,Base,"",537.8,538.8,,,541.125
007-UYDDEL,Jateon Barrage,30.5875,77.46833333333333,Base,"",,,,,616.35
007-WGDNGP,Ramakona,21.718888888888888,78.82416666666666,Base,"",,,,,349.2
007NEID3,Jollang ,27.073333333333334,93.615,Base,,,,,,
007RAJG,Rajghat_1,21.767777777525993,87.1641666661996,Base,Balasore,10.0,11.0,,,12.21
008-CDBNG,KELLODU,13.754166666666666,76.31972222222223,Base,,652.25,652.75,,,653.99
008-CDJAPR,Bigod,25.250555555555554,75.03416666666666,Base,"",351.565,352.565,,,353.265
008-DDASL,Tenughat Reservoir,23.72472222222222,85.83999999999999,Inflow,Peterbar,,268.834,268.834,267.834,265.56
008-ERDBWN,Jamshedpur,22.815555555555555,86.21611111111112,Level,"",122.5,123.5,,,129.82
008-HGDDDN,Uttarkashi,30.729166666666664,78.44694444444445,Base,,1122.0,1123.0,,,1125.07
008-HYDCHENNAI,Alladupalli,14.717222222222222,78.66861111111112,Base,"",141.735,142.735,,,143.235
008-LBDJPG,Golokganj,26.107222222222223,89.8236111111111,Level,dhubri,28.94,29.94,,,30.95
008-LGD3BEH,BERHAMPORE,24.089166666666664,88.2425,Base,,16.92,17.22,,,19.125
008-LGDHYD,Ambabal (Narangi),19.296666666666667,81.78888888888889,Base,,,,,,542.55
008-LKDHYD,Yadgir,16.7375,77.12527777777777,Base,"",359.503,360.503,,,362.653
008-LYDAGRA,NAUTGHAT,25.391944444444444,78.66388888888889,Base,"",204.0,205.0,,,207.99
008-MAHGAND,Wanakbori Weir,22.9475,73.42944444444444,Level,,71.93,74.98,,,76.1
008-MDBURLA,Sundergarh,22.11527777777778,83.39916666666667,Base,,,,,,222.9
008-MDSIL,ANIPUR,24.54361111111111,92.43305555555555,Base,Hailakandi,,19.0,,,20.0
